Date,Portfolio Value
2010-04-16,4225.5944762425215
2010-04-19,4253.738995508322
2010-04-20,4263.3301005953745
2010-04-21,4266.344501409341
2010-04-22,4269.937888887291
2010-04-23,4296.778751893503
2010-04-26,4297.066372694239
2010-04-27,4215.366710528839
2010-04-28,4235.799022568645
2010-04-29,4282.604813813468
2010-04-30,4221.740432413905
2010-05-03,4276.66439566076
2010-05-04,4190.354936052308
2010-05-05,4167.368491380963
2010-05-06,4034.4839363782785
2010-05-07,3980.836664940942
2010-05-10,4136.040668982014
2010-05-11,4121.897440414557
2010-05-12,4178.904032922994
2010-05-13,4135.201025967364
2010-05-14,4072.7719574512957
2010-05-17,4074.9463407443623
2010-05-18,4030.8905489003296
2010-05-19,4005.357461722465
2010-05-20,3861.0253741467245
2010-05-21,3909.107857201066
2010-05-24,3860.4733519328115
2010-05-25,3851.721889860408
2010-05-26,3825.145802773623
2010-05-27,3934.265314609219
2010-05-28,3887.3408048828423
2010-06-01,3844.1553655660373
2010-06-02,3930.6412176186914
2010-06-03,3932.842565361827
2010-06-04,3808.854780856918
2010-06-07,3764.5690421747963
2010-06-08,3811.9268556335323
2010-06-09,3796.3069489185455
2010-06-10,3901.1084036805873
2010-06-11,3915.888292874674
2010-06-14,3908.1491211986113
2010-06-15,3990.170858739837
2010-06-16,3991.969612263192
2010-06-17,4001.445743931201
2010-06-18,4007.76179185362
2010-06-21,4004.605827676791
2010-06-22,3947.5071066306177
2010-06-23,3949.394243629199
2010-06-24,3893.541879386217
2010-06-25,3890.094174839891
2010-06-28,3888.0654744784474
2010-06-29,3785.2047111088737
2010-06-30,3748.281765320601
2010-07-01,3732.370867248619
2010-07-02,3714.71102498466
2010-07-06,3736.623760234507
2010-07-07,3841.954392329153
2010-07-08,3888.2459864914094
2010-07-09,3910.8875109056216
2010-07-12,3917.882164154778
2010-07-13,3974.1599674988493
2010-07-14,3975.578971683732
2010-07-15,3972.737218251457
2010-07-16,3872.4882614760695
2010-07-19,3894.166930319067
2010-07-20,3923.1323672869685
2010-07-21,3881.1666948295365
2010-07-22,3958.544180352623
2010-07-23,3997.7834473030753
2010-07-26,4036.443353083295
2010-07-27,4041.1452790640815
2010-07-28,4025.878157237498
2010-07-29,4014.097314101089
2010-07-30,4013.6295557936414
2010-08-02,4093.564919010776
2010-08-03,4078.9921317734697
2010-08-04,4095.884985235465
2010-08-05,4093.7952403551158
2010-08-06,4085.5804457403356
2010-08-09,4102.910722503451
2010-08-10,4082.010277649946
2010-08-11,3980.223223701871
2010-08-12,3957.643118312816
2010-08-13,3951.200487277573
2010-08-16,3950.7630639764534
2010-08-17,3990.5850626533975
2010-08-18,3994.301288181661
2010-08-19,3938.9515113274656
2010-08-20,3916.866128695927
2010-08-23,3901.829328213683
2010-08-24,3850.4564332384184
2010-08-25,3857.9765187576695
2010-08-26,3829.502059484775
2010-08-27,3892.717591127857
2010-08-30,3838.675590102009
2010-08-31,3840.5889425381574
2010-09-01,3938.2841411882573
2010-09-02,3957.700417769213
2010-09-03,4006.7225370072097
2010-09-07,3965.5968820706776
2010-09-08,3983.3600880599015
2010-09-09,3994.186314762617
2010-09-10,4012.4135339967784
2010-09-13,4043.6147732829036
2010-09-14,4036.850066871836
2010-09-15,4054.582937854732
2010-09-16,4063.058014313928
2010-09-17,4068.05093165171
2010-09-20,4123.95310522607
2010-09-21,4126.794858658344
2010-09-22,4118.465090624521
2010-09-23,4088.9783409552842
2010-09-24,4164.848813324513
2010-09-27,4146.356818170923
2010-09-28,4164.0357602536815
2010-09-29,4155.269317931239
2010-09-30,4137.156697609871
2010-10-01,4153.121524581991
2010-10-04,4123.051668680012
2010-10-05,4197.238735451181
2010-10-06,4206.032516729943
2010-10-07,4198.719158661221
2010-10-08,4220.923634280564
2010-10-11,4222.4036829843535
2010-10-12,4226.26184638173
2010-10-13,4255.284582806028
2010-10-14,4254.7055961420465
2010-10-15,4242.514294154586
2010-10-18,4273.542886059019
2010-10-19,4210.239345446962
2010-10-20,4259.844196411451
2010-10-21,4274.647304993096
2010-10-22,4269.274263810592
2010-10-25,4281.350592379007
2010-10-26,4283.425357009319
2010-10-27,4266.8661886169275
2010-10-28,4262.137672692322
2010-10-29,4263.878752253029
2010-11-01,4266.229527990297
2010-11-02,4290.811369290727
2010-11-03,4300.939516341655
2010-11-04,4385.197056201104
2010-11-05,4388.740634347676
2010-11-08,4374.459212973616
2010-11-09,4351.415094339623
2010-11-10,4355.361266705974
2010-11-11,4327.005525914634
2010-11-12,4292.291792500767
2010-11-15,4295.892670103735
2010-11-16,4227.450529222273
2010-11-17,4221.460301738188
2010-11-18,4287.939280852124
2010-11-19,4296.498621217786
2010-11-22,4286.922870887022
2010-11-23,4232.386147103658
2010-11-24,4290.259347076813
2010-11-26,4253.670086358145
2010-11-29,4238.568121788234
2010-11-30,4220.746867330112
2010-12-01,4316.528713544063
2010-12-02,4357.420676579996
2010-12-03,4364.967726549317
2010-12-06,4357.3364126735305
2010-12-07,4356.1743197768055
